id,mail_id,mobile_number,query_heading,query_description,query_created_time,status,query_closed_time
15626,client01@gmail.com,7812869366,network issue,"network issue
",2025-12-24 11:42:40,Closed,2025-12-24 11:43:53
15625,kenneth76@example.com,9953237970,Payment Failure,Payment failed due to card error.,2025-06-27 00:00:00,Closed,2025-07-05 00:00:00
15624,vaughnkristen@example.org,795334441,UI Feedback,Graphs too compressed on mobile view.,2025-07-15 00:00:00,Closed,2025-07-24 00:00:00
15623,mclaughlinmichael@example.net,312901852,Login Issue,Forgot my password and reset isn’t working.,2025-06-25 00:00:00,Closed,2025-07-04 00:00:00
15622,robert82@example.net,2400038786,Technical Support,Freezing during screen load.,2025-05-17 00:00:00,Closed,2025-05-20 00:00:00
15621,fhenry@example.org,2758293072,Payment Failure,EMI option not available anymore.,2025-05-03 00:00:00,Closed,2025-05-09 00:00:00
15620,scastillo@example.com,2427012115,Technical Support,Getting JSON decode error.,2025-04-30 00:00:00,Closed,2025-05-10 00:00:00
15619,stephen47@example.org,2995040348,Feature Request,Need in-app video tutorials.,2025-04-20 00:00:00,Closed,2025-05-09 00:00:00
15618,paul12@example.net,443908794,UI Feedback,Sidebar hides important links.,2025-05-20 00:00:00,Closed,2025-06-02 00:00:00
15617,emily39@example.com,3393612069,Bug Report,Date selector not responsive.,2025-03-29 00:00:00,Closed,2025-04-02 00:00:00
15616,gardnerkaren@example.net,8491408677,Data Export,Zip file corrupted during export.,2025-07-21 00:00:00,Closed,2025-07-22 00:00:00
15615,erinjohnson@example.org,8239437574,Bug Report,Back button doesn’t work.,2025-07-09 00:00:00,Closed,2025-07-12 00:00:00
15614,wgoodwin@example.com,1955955321,Bug Report,Page crashes on click of ‘submit’.,2025-06-05 00:00:00,Closed,2025-06-07 00:00:00
15613,hojake@example.org,8917727921,Feature Request,Need in-app video tutorials.,2025-04-22 00:00:00,Closed,2025-04-24 00:00:00
15612,clarkjoseph@example.org,5873227052,Account Suspension,Need clarification on temporary lockout.,2025-06-10 00:00:00,Closed,2025-06-11 00:00:00
15611,samuelhendrix@example.org,126545834,UI Feedback,Sidebar hides important links.,2025-03-31 00:00:00,Closed,2025-04-13 00:00:00
15610,ysullivan@example.org,1165214313,Account Suspension,Need help lifting restrictions.,2025-04-08 00:00:00,Closed,2025-04-11 00:00:00
15609,johnroman@example.com,8175253798,Payment Failure,Need help with failed subscription payment.,2025-07-16 00:00:00,Closed,2025-07-29 00:00:00
15608,jamesstokes@example.org,1593574483,Login Issue,Two-factor authentication is not sending code.,2025-04-24 00:00:00,Closed,2025-05-03 00:00:00
15607,pamela89@example.org,2367986172,Account Suspension,Need help lifting restrictions.,2025-07-06 00:00:00,Closed,2025-07-09 00:00:00
15606,zacharyolson@example.org,5985699411,Login Issue,Seeing 'invalid session token' error.,2025-02-13 00:00:00,Closed,2025-02-14 00:00:00
15605,gnguyen@example.com,2559758776,Subscription Cancellation,Auto-renew not turned off.,2025-04-28 00:00:00,Closed,2025-05-01 00:00:00
15604,rodriguezdoris@example.net,3655411935,Data Export,Time range in export is incorrect.,2025-04-28 00:00:00,Closed,2025-05-02 00:00:00
15603,clayton05@example.org,1632013694,Login Issue,Login button is unresponsive.,2025-07-06 00:00:00,Closed,2025-07-20 00:00:00
15602,kathy56@example.org,4505627484,Login Issue,Unable to login with correct credentials.,2025-07-18 00:00:00,Closed,2025-08-05 00:00:00
15601,danieljuarez@example.com,8823351972,Payment Failure,EMI option not available anymore.,2025-05-18 00:00:00,Closed,2025-05-19 00:00:00
15600,fryemichael@example.com,8810385121,Login Issue,Login button is unresponsive.,2025-06-20 00:00:00,Closed,2025-06-30 00:00:00
15599,amandarussell@example.com,8999759773,Bug Report,Sidebar collapses on scroll.,2025-04-02 00:00:00,Closed,2025-04-07 00:00:00
15598,tiffanyflores@example.org,6787899968,Payment Failure,Need confirmation after retry.,2025-06-16 00:00:00,Closed,2025-06-20 00:00:00
15597,jamiehernandez@example.net,1412509136,Data Export,Export email not received.,2025-03-28 00:00:00,Closed,2025-04-02 00:00:00
15596,rcampbell@example.com,2574725746,Subscription Cancellation,App locked after cancellation.,2025-03-15 00:00:00,Opened,0001-01-01 00:00:00
15595,william19@example.org,8247217040,Feature Request,Would like push notifications for updates.,2025-06-28 00:00:00,Closed,2025-06-30 00:00:00
15594,tracycannon@example.com,3060536847,Technical Support,Getting JSON decode error.,2025-04-22 00:00:00,Closed,2025-04-23 00:00:00
15593,joseph70@example.org,9197158663,Billing Problem,Bank deducted amount but dashboard shows unpaid.,2025-07-02 00:00:00,Closed,2025-07-05 00:00:00
15592,ann44@example.org,7232018610,UI Feedback,Error messages not clear enough.,2025-06-14 00:00:00,Opened,0001-01-01 00:00:00
15591,gregorywatson@example.org,2369345147,Login Issue,Seeing 'invalid session token' error.,2025-02-11 00:00:00,Closed,2025-02-18 00:00:00
15590,jonesbryce@example.net,3220360787,Billing Problem,Billed for a cancelled plan.,2025-05-18 00:00:00,Closed,2025-05-29 00:00:00
15589,amy85@example.com,8646584931,Login Issue,Seeing 'invalid session token' error.,2025-03-02 00:00:00,Closed,2025-03-11 00:00:00
15588,allentricia@example.net,8804741880,Technical Support,Live chat not launching.,2025-02-06 00:00:00,Closed,2025-02-11 00:00:00
15587,robert00@example.com,956483344,Bug Report,Check/uncheck box not saving state.,2025-03-31 00:00:00,Closed,2025-04-05 00:00:00
15586,donald99@example.com,419947064,Data Export,Charts not included in report export.,2025-05-08 00:00:00,Closed,2025-05-16 00:00:00
15585,kimberlyanthony@example.org,2108989459,Login Issue,Unable to login with correct credentials.,2025-05-11 00:00:00,Closed,2025-05-12 00:00:00
15584,sotojennifer@example.com,3965064189,Data Export,Charts not included in report export.,2025-04-16 00:00:00,Closed,2025-04-17 00:00:00
15583,lewisjohn@example.com,2959314168,Data Export,Zip file corrupted during export.,2025-03-08 00:00:00,Closed,2025-03-11 00:00:00
15582,scottpriscilla@example.com,5697834058,Billing Problem,Amount charged doesn’t match pricing plan.,2025-07-20 00:00:00,Closed,2025-07-22 00:00:00
15581,sean89@example.org,9237784922,Login Issue,Account seems to be disabled.,2025-04-03 00:00:00,Closed,2025-04-07 00:00:00
15580,erickelley@example.com,6386505974,Payment Failure,Card declined despite funds.,2025-02-24 00:00:00,Closed,2025-02-26 00:00:00
15579,fgarcia@example.org,3261488283,UI Feedback,Table headers not sticky.,2025-06-25 00:00:00,Closed,2025-07-11 00:00:00
15578,roberthancock@example.net,26428463,Account Suspension,"Got auto-ban, never violated terms.",2025-03-16 00:00:00,Closed,2025-03-26 00:00:00
15577,matthew95@example.com,7115916421,UI Feedback,Table headers not sticky.,2025-05-12 00:00:00,Closed,2025-05-24 00:00:00
15576,edward15@example.net,9015125244,Billing Problem,Bill shows usage I didn’t make.,2025-06-10 00:00:00,Closed,2025-06-14 00:00:00
15575,grogers@example.net,7445406358,Technical Support,Settings not saving properly.,2025-04-05 00:00:00,Closed,2025-04-13 00:00:00
15574,sherry90@example.net,2130729608,Billing Problem,Duplicate transaction found.,2025-04-18 00:00:00,Closed,2025-05-02 00:00:00
15573,clarkthomas@example.com,2177834875,Payment Failure,Payment success mail delayed.,2025-07-27 00:00:00,Closed,2025-07-31 00:00:00
15572,courtney53@example.org,69951666,Data Export,Charts not included in report export.,2025-07-18 00:00:00,Closed,2025-07-23 00:00:00
15571,bthompson@example.net,3256487268,Login Issue,Two-factor authentication is not sending code.,2025-04-04 00:00:00,Closed,2025-04-08 00:00:00
15570,weisstara@example.com,5354845244,Account Suspension,Suspension mail was too vague.,2025-05-19 00:00:00,Closed,2025-05-21 00:00:00
15569,clarkkaren@example.net,3339949041,Account Suspension,Account banned during payment process.,2025-03-22 00:00:00,Closed,2025-03-23 00:00:00
15568,irichardson@example.org,631075006,Payment Failure,EMI option not available anymore.,2025-06-16 00:00:00,Closed,2025-06-18 00:00:00
15567,thomaslee@example.net,5809044095,Feature Request,Multi-user role system would help.,2025-02-16 00:00:00,Closed,2025-03-01 00:00:00
15566,dylan24@example.com,8509946959,Account Suspension,Appeal submitted but no response yet.,2025-07-26 00:00:00,Closed,2025-08-01 00:00:00
15565,malonejade@example.org,1984753631,Account Suspension,Appeal submitted but no response yet.,2025-04-18 00:00:00,Closed,2025-04-21 00:00:00
15564,joel97@example.org,3834054783,Login Issue,Captcha keeps looping during login.,2025-05-19 00:00:00,Closed,2025-05-21 00:00:00
15563,yhayden@example.com,6564610705,Billing Problem,Duplicate transaction found.,2025-02-17 00:00:00,Closed,2025-02-19 00:00:00
15562,brandon96@example.com,881939778,Technical Support,White screen on startup.,2025-04-20 00:00:00,Closed,2025-04-26 00:00:00
15561,aaron03@example.net,3446549224,Technical Support,Download button is inactive.,2025-04-15 00:00:00,Closed,2025-04-22 00:00:00
15560,fsilva@example.com,9105341601,Billing Problem,Not receiving monthly bills via email.,2025-02-17 00:00:00,Closed,2025-02-22 00:00:00
15559,justinterry@example.org,251215171,Bug Report,Search bar resets randomly.,2025-03-05 00:00:00,Closed,2025-03-11 00:00:00
15558,pkramer@example.org,4883349042,Feature Request,Requesting PDF report generation.,2025-07-21 00:00:00,Closed,2025-07-29 00:00:00
15557,gerald08@example.org,8559947395,Feature Request,Requesting PDF report generation.,2025-06-21 00:00:00,Closed,2025-06-25 00:00:00
15556,ucross@example.org,7691843148,Login Issue,Getting 'user not found' even with valid ID.,2025-05-15 00:00:00,Closed,2025-05-18 00:00:00
15555,srubio@example.net,6647325690,Bug Report,Search bar resets randomly.,2025-04-06 00:00:00,Closed,2025-04-07 00:00:00
15554,martinezkyle@example.org,8828695808,Billing Problem,Bill shows usage I didn’t make.,2025-04-16 00:00:00,Closed,2025-05-02 00:00:00
15553,coopermarvin@example.com,1203542597,Subscription Cancellation,Accidentally cancelled wrong plan.,2025-07-02 00:00:00,Closed,2025-07-06 00:00:00
15552,greenjeffrey@example.org,1140894094,Billing Problem,Duplicate transaction found.,2025-03-09 00:00:00,Closed,2025-03-11 00:00:00
15551,karenreyes@example.com,6085017865,Login Issue,Getting 'user not found' even with valid ID.,2025-03-01 00:00:00,Closed,2025-03-16 00:00:00
15550,carolinecompton@example.com,9916179344,Subscription Cancellation,Received cancellation email but charged again.,2025-04-15 00:00:00,Closed,2025-04-17 00:00:00
15549,frankthomas@example.net,5669068421,Bug Report,Form validation not working properly.,2025-06-28 00:00:00,Closed,2025-07-09 00:00:00
15548,imorse@example.net,2761146086,Login Issue,App logs me out automatically.,2025-05-25 00:00:00,Closed,2025-06-03 00:00:00
15547,michaelwilson@example.org,5241633800,Payment Failure,Need help with failed subscription payment.,2025-05-04 00:00:00,Closed,2025-05-09 00:00:00
15546,ostafford@example.com,5920619407,Account Suspension,My account was suspended without notice.,2025-05-29 00:00:00,Closed,2025-06-01 00:00:00
15545,josephdavis@example.com,1803246488,Data Export,Exported PDF looks blank.,2025-05-05 00:00:00,Closed,2025-05-11 00:00:00
15544,bryanmichael@example.org,2801944504,Data Export,Export button missing from UI.,2025-07-12 00:00:00,Closed,2025-07-26 00:00:00
15543,nancy71@example.org,3459697131,Payment Failure,Bank transaction shows pending.,2025-02-11 00:00:00,Closed,2025-02-12 00:00:00
15542,pking@example.com,4627166918,Feature Request,Can you include language translation?,2025-05-17 00:00:00,Closed,2025-05-19 00:00:00
15541,alvaradokaren@example.com,6623027926,Billing Problem,Billed for a cancelled plan.,2025-06-06 00:00:00,Closed,2025-06-07 00:00:00
15540,schneiderelizabeth@example.net,3655357721,UI Feedback,Dark mode missing in login.,2025-02-28 00:00:00,Closed,2025-03-02 00:00:00
15539,qwilliams@example.net,9387717673,Payment Failure,Need help with failed subscription payment.,2025-02-15 00:00:00,Closed,2025-02-27 00:00:00
15538,fosterethan@example.net,4275260366,Payment Failure,Didn’t receive invoice after payment.,2025-04-17 00:00:00,Closed,2025-04-25 00:00:00
15537,zanderson@example.org,1396117430,Billing Problem,Bill shows usage I didn’t make.,2025-06-23 00:00:00,Closed,2025-06-29 00:00:00
15536,kelly80@example.net,2486601600,UI Feedback,Filter section takes too much space.,2025-06-16 00:00:00,Closed,2025-06-25 00:00:00
15535,florestodd@example.net,9168203622,UI Feedback,Text is too small on mobile.,2025-06-08 00:00:00,Opened,0001-01-01 00:00:00
15534,ryanmartin@example.org,6023246287,Login Issue,Captcha keeps looping during login.,2025-06-25 00:00:00,Closed,2025-07-01 00:00:00
